gamma,learning_rate,max_delta_step,max_depth,reg_alpha,reg_lambda,subsample,Best Score
7.153373265386294,0.029535689909704645,2.8279603374656057,7,25.869821611256672,488.25708715536706,0.10688027234062386,-0.926850964916014
0.6802183505902215,0.03986243761908333,1.4040417507886453,5,236.4316472841771,167.60250219240046,0.4509889137858537,
9.579387013678275,0.05504979469247915,1.8752195623590033,4,399.64089352472007,561.5974238696642,0.8915205063240119,
8.80616029176523,0.029781967357158646,0.10042849628506434,7,454.3307662056517,277.8658298665245,0.5179278244554048,-0.9315887145823624
0.5657265205675355,0.022097826644685892,4.463550941994598,6,32.86228874417652,931.1919328603246,0.4371206410335574,-0.913196631672186
3.9158426097387853,0.00554197943584086,3.9652668071395376,6,381.4300941970637,895.1509611726115,0.5120047224020116,-0.9150129610852309
6.07377410854858,0.03040185106129333,2.077500411366973,7,233.40386322479773,104.30231108392884,0.9437695239469549,
7.005302055108203,0.07831015105130698,4.699944474276178,6,427.3965944073161,405.4423658367701,0.9691535739984631,
4.745260615217922,0.08572213210810303,4.913081679803017,6,109.60431786831943,671.7080871208559,0.40230037714198563,
7.4129680448142725,0.05176043780390349,2.327679161774178,4,479.1270274572766,318.2539621124303,0.8444986167751646,
8.649135628479133,0.021688249176871233,1.9850463558398608,6,13.503354409427848,758.1406183195938,0.7642997534435891,
6.06695169005678,0.026485392719892656,0.20470030501763103,6,401.1961109233138,537.7646795608032,0.2998288903619052,
8.351859928098671,0.04096554920647663,0.9982120625964397,7,403.2258165592404,481.8066185683838,0.10953960226330338,-1.172517196853828
0.31997636625088144,0.03120519985163649,2.7930010859211034,5,267.5566591003627,298.98943645227394,0.38043760734982224,-1.1083463956688417
2.52642620528523,0.009873939071281684,0.26606958445607887,7,209.55231297361803,164.4528254424732,0.313401298026189,-1.1051387280767997
